CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID
Cleveland,Cavaliers,1610612739,1,0,1,0,0,0,0,7,1,5,240,0,41,89,0.461,23,50,0.46,16,19,0.842,10,33,50,33,22,3,14,5,121,50.0,121.0,0,0.5873015873015873,13.0,2022-23,2022-10-30,0022200090
Cleveland,Cavaliers,1610612739,1,0,1,0,0,0,1,16,1,5,240,0,36,87,0.414,10,33,0.303,21,30,0.7,12,31,59,25,22,6,13,3,103,59.0,103.0,0,0.5398230088495575,11.0,2022-23,2022-10-26,0022200056
Cleveland,Cavaliers,1610612739,1,0,1,0,0,0,0,8,1,5,265,0,41,96,0.427,13,33,0.394,22,25,0.88,16,32,56,19,20,10,13,5,117,56.0,117.0,0,0.5357142857142857,10.0,2022-23,2022-10-23,0022200039
OPPONENTS, Cavaliers,1610612739,1,0,0,0,1,0,1,8,1,5,240,0,48,85,0.565,16,27,0.593,16,18,0.889,8,40,56,32,17,4,18,5,128,56.0,128.0,0,0.6299212598425197,32.0,2022-23,2022-10-22,0022200032
Toronto,Raptors,1610612761,1,0,1,0,0,0,0,15,1,5,240,0,36,86,0.419,13,30,0.433,23,32,0.719,12,29,56,19,23,15,13,4,108,56.0,108.0,1,0.5188679245283019,3.0,2022-23,2022-10-19,0022200008
Minnesota,Timberwolves,1610612750,1,0,1,0,0,0,0,8,1,5,240,0,39,82,0.476,13,36,0.361,22,31,0.71,8,34,50,25,22,7,17,8,113,50.0,113.0,0,0.5517241379310345,5.0,2022-23,2023-04-09,0022201225
New Orleans,Pelicans,1610612740,1,0,1,0,0,0,0,5,1,5,240,0,42,79,0.532,10,28,0.357,19,20,0.95,4,39,48,27,17,4,12,7,113,48.0,113.0,0,0.6052631578947368,8.0,2022-23,2023-04-07,0022201209
New Orleans,Pelicans,1610612740,1,0,1,0,0,0,0,12,1,5,265,0,44,88,0.5,21,39,0.538,29,39,0.744,8,36,56,35,22,9,16,8,138,56.0,138.0,0,0.6030534351145038,7.0,2022-23,2023-04-05,0022201194
OPPONENTS, Kings,1610612758,1,0,0,0,1,0,1,7,1,5,240,0,46,91,0.505,17,42,0.405,12,15,0.8,11,32,50,35,22,8,12,4,121,50.0,121.0,0,0.6377952755905512,18.0,2022-23,2023-04-04,0022201185
New Orleans,Pelicans,1610612740,1,0,1,0,0,0,0,8,1,5,240,0,42,86,0.488,7,17,0.412,31,35,0.886,14,26,48,21,15,6,7,5,122,48.0,122.0,0,0.63,8.0,2022-23,2023-04-01,0022201162
OPPONENTS, Pelicans,1610612740,1,0,0,0,1,0,2,6,1,5,240,0,38,80,0.475,13,27,0.481,18,22,0.818,8,38,52,22,24,6,12,1,107,52.0,107.0,0,0.5660377358490566,19.0,2022-23,2023-03-30,0022201147
Golden State,Warriors,1610612744,1,0,1,0,0,0,1,6,1,5,240,0,43,82,0.524,18,40,0.45,16,22,0.727,11,30,47,32,18,11,19,4,120,47.0,120.0,0,0.6147540983606558,11.0,2022-23,2023-03-28,0022201135
OPPONENTS, Pelicans,1610612740,1,0,0,0,1,0,1,6,1,5,240,0,49,86,0.57,12,28,0.429,14,17,0.824,8,45,59,31,16,5,17,6,124,59.0,124.0,0,0.6349206349206349,34.0,2022-23,2023-03-27,0022201127
OPPONENTS, Pelicans,1610612740,1,0,0,0,1,0,1,7,1,5,240,0,51,96,0.531,21,34,0.618,8,9,0.889,12,33,52,36,21,11,16,3,131,52.0,131.0,0,0.6397058823529411,21.0,2022-23,2023-03-25,0022201112
New Orleans,Pelicans,1610612740,1,0,1,0,0,0,0,6,1,5,240,0,45,98,0.459,11,34,0.324,14,15,0.933,11,41,58,26,14,11,11,0,115,58.0,115.0,0,0.5725806451612904,19.0,2022-23,2023-03-23,0022201095
New Orleans,Pelicans,1610612740,1,0,1,0,0,0,0,10,1,5,240,0,45,81,0.556,10,24,0.417,19,23,0.826,5,44,59,31,19,8,16,2,119,59.0,119.0,0,0.6178861788617886,35.0,2022-23,2023-03-21,0022201080
OPPONENTS, Pelicans,1610612740,1,0,0,0,1,0,0,9,1,5,240,0,42,85,0.494,13,31,0.419,20,24,0.833,10,29,48,28,23,7,10,4,117,48.0,117.0,0,0.6194690265486725,10.0,2022-23,2023-03-19,0022201067
