CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID
OPPONENTS, Cavaliers,1610612739,0,1,0,0,0,1,0,7,1,5,240,0,36,84,0.429,12,28,0.429,14,17,0.824,6,28,41,22,18,7,8,7,98,41.0,98.0,0,0.5370370370370371,-15.0,2022-23,2022-11-16,0022200216
Cleveland,Cavaliers,1610612739,0,1,0,1,0,0,0,11,1,5,240,0,40,89,0.449,17,34,0.5,27,39,0.692,16,24,51,22,22,6,10,1,124,51.0,124.0,0,0.5904761904761905,-5.0,2022-23,2022-11-13,0022200193
OPPONENTS, Cavaliers,1610612739,0,1,0,0,0,1,3,11,1,5,240,0,37,92,0.402,8,30,0.267,19,26,0.731,14,32,57,25,17,6,13,3,101,57.0,101.0,0,0.5344827586206896,-5.0,2022-23,2022-11-11,0022200182
OPPONENTS, Cavaliers,1610612739,0,1,0,0,0,1,0,9,1,5,240,0,46,86,0.535,11,26,0.423,17,20,0.85,12,30,51,24,23,4,18,1,120,51.0,120.0,0,0.603448275862069,-7.0,2022-23,2022-11-09,0022200171
OPPONENTS, Cavaliers,1610612739,0,1,0,0,0,1,0,7,1,5,240,0,43,83,0.518,16,33,0.485,15,21,0.714,10,38,55,29,21,6,17,2,117,55.0,117.0,1,0.6050420168067226,-2.0,2022-23,2022-11-07,0022200158
Los Angeles,Lakers,1610612747,0,1,0,1,0,0,1,7,1,5,240,0,40,87,0.46,8,27,0.296,12,21,0.571,10,33,50,24,26,4,17,4,100,50.0,100.0,0,0.5423728813559322,-14.0,2022-23,2022-11-06,0022200140
Detroit,Pistons,1610612765,0,1,0,1,0,0,1,6,1,5,240,0,31,83,0.373,13,37,0.351,13,15,0.867,9,25,40,16,22,10,19,6,88,40.0,88.0,0,0.43119266055045874,-24.0,2022-23,2022-11-04,0022200120
OPPONENTS, Knicks,1610612752,0,1,0,0,0,1,0,11,1,5,240,0,45,92,0.489,10,27,0.37,8,16,0.5,12,33,56,26,25,9,14,2,108,56.0,108.0,0,0.5916666666666667,-13.0,2022-23,2022-10-30,0022200090
OPPONENTS, Magic,1610612753,0,1,0,0,0,1,1,9,1,5,240,0,35,81,0.432,6,24,0.25,16,21,0.762,10,33,52,19,29,6,17,6,92,52.0,92.0,1,0.5046728971962616,-11.0,2022-23,2022-10-26,0022200056
OPPONENTS, Wizards,1610612764,0,1,0,0,0,1,2,17,1,5,265,0,43,87,0.494,12,28,0.429,9,15,0.6,4,31,52,25,24,9,20,4,107,52.0,107.0,0,0.53125,-10.0,2022-23,2022-10-23,0022200039
Chicago,Bulls,1610612741,0,1,0,1,0,0,0,2,1,5,240,0,34,84,0.405,7,29,0.241,21,25,0.84,10,25,37,19,19,12,10,7,96,37.0,96.0,0,0.5145631067961165,-32.0,2022-23,2022-10-22,0022200032
OPPONENTS, Cavaliers,1610612739,0,1,0,0,0,1,0,8,1,5,240,0,38,77,0.494,10,28,0.357,19,23,0.826,6,32,46,25,21,5,17,5,105,46.0,105.0,0,0.5575221238938053,-3.0,2022-23,2022-10-19,0022200008
OPPONENTS, Pelicans,1610612740,0,1,0,0,0,1,0,7,1,5,240,0,40,90,0.444,3,21,0.143,25,29,0.862,11,38,56,18,24,13,15,3,108,56.0,108.0,0,0.5178571428571429,-5.0,2022-23,2023-04-09,0022201225
OPPONENTS, Knicks,1610612752,0,1,0,0,0,1,1,8,1,5,240,0,38,88,0.432,14,43,0.326,15,20,0.75,7,30,45,19,17,5,10,2,105,45.0,105.0,0,0.5181818181818182,-8.0,2022-23,2023-04-07,0022201209
OPPONENTS, Grizzlies,1610612763,0,1,0,0,0,1,1,9,1,5,265,0,50,104,0.481,12,36,0.333,19,25,0.76,15,34,58,33,25,10,14,6,131,58.0,131.0,2,0.6102941176470589,-7.0,2022-23,2023-04-05,0022201194
New Orleans,Pelicans,1610612740,0,1,0,1,0,0,1,13,1,5,240,0,37,84,0.44,7,20,0.35,22,27,0.815,9,28,50,20,14,6,14,4,103,50.0,103.0,0,0.5229357798165137,-18.0,2022-23,2023-04-04,0022201185
OPPONENTS, Clippers,1610612746,0,1,0,0,0,1,0,10,1,5,240,0,42,85,0.494,11,29,0.379,19,23,0.826,11,26,47,25,29,5,13,4,114,47.0,114.0,0,0.5982142857142857,-8.0,2022-23,2023-04-01,0022201162
Denver,Nuggets,1610612743,0,1,0,1,0,0,1,14,1,5,240,0,32,80,0.4,4,28,0.143,20,32,0.625,11,29,54,21,21,4,10,5,88,54.0,88.0,0,0.53,-19.0,2022-23,2023-03-30,0022201147
OPPONENTS, Pelicans,1610612740,0,1,0,0,0,1,2,6,1,5,240,0,42,90,0.467,12,27,0.444,13,14,0.929,11,30,47,30,18,6,19,4,109,47.0,109.0,0,0.5625,-11.0,2022-23,2023-03-28,0022201135
Portland,Trail Blazers,1610612757,0,1,0,1,0,0,0,9,1,5,240,0,35,90,0.389,7,33,0.212,13,15,0.867,6,23,38,15,16,6,12,2,90,38.0,90.0,0,0.45045045045045046,-34.0,2022-23,2023-03-27,0022201127
LA,Clippers,1610612746,0,1,0,1,0,0,1,3,1,5,240,0,39,75,0.52,15,33,0.455,17,21,0.81,2,29,34,29,14,9,20,6,110,34.0,110.0,0,0.5573770491803278,-21.0,2022-23,2023-03-25,0022201112
OPPONENTS, Hornets,1610612766,0,1,0,0,0,1,0,8,1,5,240,0,38,83,0.458,9,37,0.243,11,16,0.688,4,34,46,24,17,8,17,4,96,46.0,96.0,0,0.5166666666666667,-19.0,2022-23,2023-03-23,0022201095
OPPONENTS, Spurs,1610612759,0,1,0,0,0,1,2,9,1,5,240,0,30,87,0.345,13,41,0.317,11,19,0.579,10,27,46,22,19,8,16,3,84,46.0,84.0,0,0.45217391304347826,-35.0,2022-23,2023-03-21,0022201080
